PROJETO UMIDO - BACKLOG,,,,,,,,,,,,
Requisitos,Descrição,,,,,,,,Classificação,,Status,Responsavel
"Protótipo no Figma	",Criar um protótipo do site antes da implementação final,,,,,,,,Essencial,,Pronto,
Criar estrutura do banco de dados,"Criar tabelas para armazenar sensores, medições, usuários e alertas",,,,,,,,Essencial,,Pronto,
Documentação do projeto,"Documentação contendo: Contexto, Justificativa, Objetivo, Premissas, Restrições e Escopo ",,,,,,,,Essencial,,Pronto,
Montar Arduino e sensores,"Montar o arduíno, conectar o sensor de umidade para iniciar a leitura dos dados",,,,,,,,Essencial,,Pronto,
 Instalação e configuração Arduino IDE,Instalar Arduino IDE e programar a IDE para receber e mostrar os dados na tela,,,,,,,,Essencial,,Pronto,
Diagrama de visão de negócio,Diagrama de negócio explicativo para usuário,,,,,,,,Essencial,,Pronto,
Instalar Linux Lubuntu na VM Local,Instalar Linux na VM Local (Oracle Virtual Box) para ambiente principal,,,,,,,,Essencial,,Pronto,
Tela com métricas estatísticas,Criar gráficos de variação de registros de dados para a tela inicial,,,,,,,,Essencial,,Pronto,
Fazer slides de apresentação,"Criar PowerPoint para exibir o protótipo do site e apresentação de contexto, etc",,,,,,,,Importante,,Pronto,
Configurar projeto no GitHub,Configurar repositório do projeto no GitHub,,,,,,,,Essencial,,Pronto,
Realizar testes de leitura do sensor,Validar a captação correta dos dados pelo Arduino,,,,,,,,Essencial,,Pronto,
Tela inicial do site,Criar página com informações sobre o projeto e acesso ao painel de métricas,,,,,,,,Essencial,,A fazer,Erick
Tela de cadastro de usuário,"Cadastro com validação de CPF e e-mail, além de especificar o tipo de plantação",,,,,,,,Essencial,,A fazer,dereck/gustavo
Tela de login,Autenticação por e-mail e senha,,,,,,,,Essencial,,A fazer,dereck/gustavo
Recuperação de senha,Permitir redefinição de senha via e-mail,,,,,,,,Desejável,,A fazer,
Dashboard de métricas,Exibir gráficos e indicadores das medições de umidade,,,,,,,,Essencial,,A fazer,bill
Manutenção de sensores por meio do site,"Tela para adicionar, remover ou editar sensores cadastrados",,,,,,,,Essencial,,A fazer,bill
Tela de simulador financeiro,Permitir entrada de dados e exibição dos cálculos financeiros,,,,,,,,Essencial,,Pronto,
Testes de integração do hardware,Garantir que o Arduino envia dados corretamente ao sistema,,,,,,,,Essencial,,A fazer,
Testes de interface,Validar usabilidade e funcionamento das telas do site,,,,,,,,Essencial,,A fazer,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Projetos atualizado no GitHub,Atualizar GIT com os requesitos,,,,,,,,Importante,,Pronto,César
Documentação do Projeto Atualizada,Documentação atualizada com dados e restrições e correções feitas,,,,,,,,Importante,,Pronto , César
Planilha de Riscos do Projeto,,,,,,,,,,,A fazer,
Especificação da Dashboard,,,,,,,,,,,A fazer,
Site do simulador,Criar calculadora do prototipo,,,,,,,,,,A fazer,cesar
Diagrama de Solução,,,,,,,,,,,A fazer,
ferramenta de Gestão planejada,Atualizar os dados no Trello e Excel,,,,,,,,Importante,,A fazer,Gustavo
Modelagem Lógica do Projeto v1,,,,,,,,,Importante,,Pronto,
Script de criação do Banco,,,,,,,,,Importante,,Pronto,
Tabelas criadas em BD local,Criar as  tabelas de banco de dados no MySQL local,,,,,,,,Importante,,Pronto,
Simular a integração do Sistema,,,,,,,,,,,A fazer,
API Local,Integrar corretamente a API,,,,,,,,,,A fazer,
MYSQL na VMLinux,Instalar o MySQL na Maquina Virtual Linux,,,,,,,,Importante,,Pronto,César
Validar a solução técnica,,,,,,,,,,,A fazer,
Atualizar BackLog,Atualizar o Backlog com os novos requisitos das novas sprints,,,,,,,,Importante,,A fazer,Gustavo
Reformular Design,Corrigir os designs do prototipo do site,,,,,,,,Importante,,Pronto,Erick
